yaxcatd (C:\Program Files\Tableau\Tableau 2023.1\bin\yaxcat\yaxcatd.exe) built at 5f260ca listening on 127.0.0.1:5605 with 8 worker threads.
0.009ms; [no ensemble]::AggModelServiceImpl::ping: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.477ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.010ms; [no ensemble]::AggModelServiceImpl::ping: 
0.225ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.035ms; [no ensemble]::AggModelServiceImpl::ping: 
0.193ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.123ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.013ms; [no ensemble]::AggModelServiceImpl::ping: 
0.192ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.112ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.184ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.114ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.012ms; [no ensemble]::AggModelServiceImpl::ping: 
0.126ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.122ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
stdin closed, exiting.
